@relation all_all_all_all-standard_config_performanceValues-weka.filters.unsupervised.attribute.Remove-R1

@attribute AutoCorrelation numeric
@attribute CardinalityAtFour numeric
@attribute CardinalityAtThree numeric
@attribute CardinalityAtTwo numeric
@attribute CfsSubsetEval_DecisionStumpAUC numeric
@attribute CfsSubsetEval_DecisionStumpErrRate numeric
@attribute CfsSubsetEval_DecisionStumpKappa numeric
@attribute CfsSubsetEval_NaiveBayesAUC numeric
@attribute CfsSubsetEval_NaiveBayesErrRate numeric
@attribute CfsSubsetEval_NaiveBayesKappa numeric
@attribute CfsSubsetEval_kNN1NAUC numeric
@attribute CfsSubsetEval_kNN1NErrRate numeric
@attribute CfsSubsetEval_kNN1NKappa numeric
@attribute DecisionStumpAUC numeric
@attribute DecisionStumpErrRate numeric
@attribute DecisionStumpKappa numeric
@attribute Dimensionality numeric
@attribute J48.00001.AUC numeric
@attribute J48.00001.ErrRate numeric
@attribute J48.00001.Kappa numeric
@attribute J48.0001.AUC numeric
@attribute J48.0001.ErrRate numeric
@attribute J48.0001.Kappa numeric
@attribute J48.001.AUC numeric
@attribute J48.001.ErrRate numeric
@attribute J48.001.Kappa numeric
@attribute MajorityClassPercentage numeric
@attribute MajorityClassSize numeric
@attribute MaxCardinalityOfNominalAttributes numeric
@attribute MaxCardinalityOfNumericAttributes numeric
@attribute MaxKurtosisOfNumericAtts numeric
@attribute MaxMeansOfNumericAtts numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute MaxSkewnessOfNumericAtts numeric
@attribute MaxStdDevOfNumericAtts numeric
@attribute MeanCardinalityOfNominalAttributes numeric
@attribute MeanCardinalityOfNumericAttributes numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute MinCardinalityOfNominalAttributes numeric
@attribute MinCardinalityOfNumericAttributes numeric
@attribute MinKurtosisOfNumericAtts numeric
@attribute MinMeansOfNumericAtts numeric
@attribute MinNominalAttDistinctValues numeric
@attribute MinSkewnessOfNumericAtts numeric
@attribute MinStdDevOfNumericAtts numeric
@attribute MinorityClassPercentage numeric
@attribute MinorityClassSize numeric
@attribute NaiveBayesAUC numeric
@attribute NaiveBayesErrRate numeric
@attribute NaiveBayesKappa numeric
@attribute NumberOfBinaryFeatures numeric
@attribute NumberOfClasses numeric
@attribute NumberOfFeatures numeric
@attribute NumberOfInstances numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute NumberOfMissingValues numeric
@attribute NumberOfNumericFeatures numeric
@attribute NumberOfSymbolicFeatures numeric
@attribute PercentageOfBinaryFeatures numeric
@attribute PercentageOfInstancesWithMissingValues numeric
@attribute PercentageOfMissingValues numeric
@attribute PercentageOfNumericFeatures numeric
@attribute PercentageOfSymbolicFeatures numeric
@attribute Quartile1KurtosisOfNumericAtts numeric
@attribute Quartile1MeansOfNumericAtts numeric
@attribute Quartile1SkewnessOfNumericAtts numeric
@attribute Quartile1StdDevOfNumericAtts numeric
@attribute Quartile2KurtosisOfNumericAtts numeric
@attribute Quartile2MeansOfNumericAtts numeric
@attribute Quartile2SkewnessOfNumericAtts numeric
@attribute Quartile2StdDevOfNumericAtts numeric
@attribute Quartile3KurtosisOfNumericAtts numeric
@attribute Quartile3MeansOfNumericAtts numeric
@attribute Quartile3SkewnessOfNumericAtts numeric
@attribute Quartile3StdDevOfNumericAtts numeric
@attribute REPTreeDepth1AUC numeric
@attribute REPTreeDepth1ErrRate numeric
@attribute REPTreeDepth1Kappa numeric
@attribute REPTreeDepth2AUC numeric
@attribute REPTreeDepth2ErrRate numeric
@attribute REPTreeDepth2Kappa numeric
@attribute REPTreeDepth3AUC numeric
@attribute REPTreeDepth3ErrRate numeric
@attribute REPTreeDepth3Kappa numeric
@attribute RandomTreeDepth1AUC numeric
@attribute RandomTreeDepth1ErrRate numeric
@attribute RandomTreeDepth1Kappa numeric
@attribute RandomTreeDepth2AUC numeric
@attribute RandomTreeDepth2ErrRate numeric
@attribute RandomTreeDepth2Kappa numeric
@attribute RandomTreeDepth3AUC numeric
@attribute RandomTreeDepth3ErrRate numeric
@attribute RandomTreeDepth3Kappa numeric
@attribute StdevCardinalityOfNominalAttributes numeric
@attribute StdevCardinalityOfNumericAttributes numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute kNN1NAUC numeric
@attribute kNN1NErrRate numeric
@attribute kNN1NKappa numeric
@attribute weka.classifiers.lazy.IBk numeric

@data
0.568421,2310,462,77,0.580685,0.276224,0.128788,0.580685,0.276224,0.128788,0.580685,0.276224,0.128788,0.620369,0.297203,0.25571,0.034965,0.580626,0.297203,0.210868,0.580626,0.297203,0.210868,0.580626,0.297203,0.210868,0.702797,201,11,?,?,?,11,?,?,4.3,?,?,?,4.3,?,?,2,?,?,?,2,?,?,0.297203,85,0.694966,0.276224,0.282776,4,2,10,286,9,9,0,10,0.4,0.031469,0.003147,0,1,?,?,?,?,?,?,?,?,?,?,?,?,0.48446,0.325175,-0.01651,0.48446,0.325175,-0.01651,0.48446,0.325175,-0.01651,0.543108,0.363636,0.072876,0.543108,0.363636,0.072876,0.543108,0.363636,0.072876,2.983287,?,2.983287,0.593327,0.300699,0.186263,74.698795
0.995498,15808862273296,7928215784,3976036,0.72435,0.8045,0.106111,0.966894,0.221,0.754444,0.896422,0.186,0.793333,0.72435,0.8045,0.106111,0.0385,0.902784,0.2895,0.678333,0.899338,0.283,0.685556,0.885568,0.282,0.686667,0.1,200,10,1994,1.994923,0.377311,10,1.029986,0.176231,10,1993.592105,0.119006,0.132032,10,0.544701,0.067108,10,1976,-1.125279,0.071692,10,-0.120625,0.037555,0.1,200,0.962638,0.2465,0.726111,0,10,77,2000,0,0,76,1,0,0,0,0.987013,0.012987,-0.178901,0.086326,0.408991,0.042704,0.063023,0.1065,0.554228,0.052759,0.438104,0.155768,0.710785,0.086335,0.72308,0.8045,0.106111,0.837822,0.629,0.301111,0.89759,0.4,0.555556,0.640063,0.8065,0.103889,0.741717,0.728,0.191111,0.801418,0.621,0.31,0,2.086002,0,0.882509,0.2115,0.765,80.271186
0.631805,10000,1000,100,0.92696,0.055794,0.876874,0.92696,0.055794,0.876874,0.92696,0.055794,0.876874,0.924908,0.088698,0.810753,0.014306,0.92696,0.055794,0.876874,0.92696,0.055794,0.876874,0.92696,0.055794,0.876874,0.655222,458,2,10,12.657878,4.41774,2,3.560658,3.643857,2,9.888889,1.684115,3.135704,2,1.477489,2.751081,2,9,-0.798844,1.589413,2,0.592859,1.715078,0.344778,241,0.988308,0.040057,0.912545,1,2,10,699,16,16,9,1,0.1,0.02289,0.002289,0.9,0.1,-0.308352,2.83691,1.044992,2.326332,0.184621,3.207439,1.233137,2.855379,1.578507,3.491212,1.61832,3.052547,0.95278,0.055794,0.875655,0.95278,0.055794,0.875655,0.95278,0.055794,0.875655,0.95169,0.044349,0.901745,0.95169,0.044349,0.901745,0.95169,0.044349,0.901745,0,0.333333,0,0.975222,0.042918,0.904445,96.038647
0.995498,15808862273296,7928215784,3976036,0.693667,0.8045,0.106111,0.995769,0.064,0.928889,0.970599,0.053,0.941111,0.693667,0.8045,0.106111,0.0325,0.899894,0.2265,0.748333,0.897378,0.219,0.756667,0.895041,0.2165,0.759444,0.1,200,10,1994,0.580943,2.891171,10,0.418722,7.691305,10,1993.953125,-0.045655,0.053085,10,-0.004286,2.152663,10,1993,-0.944709,-1.819707,10,-0.339113,0.892344,0.1,200,0.995631,0.068,0.924444,0,10,65,2000,0,0,64,1,0,0,0,0.984615,0.015385,-0.14953,-0.298417,-0.104202,1.143848,-0.017346,0.004483,-0.020816,1.647651,0.071655,0.332461,0.059177,2.66148,0.69869,0.803,0.107778,0.801294,0.638,0.291111,0.873586,0.5035,0.440556,0.654064,0.818,0.091111,0.750256,0.732,0.186667,0.789627,0.6595,0.267222,0,0.213042,0,0.972275,0.05,0.944444,96.271186
0.995498,61138386560,6113838656,3560768,0.76125,0.8015,0.109444,0.951213,0.2995,0.667222,0.822781,0.3295,0.633889,0.76125,0.8015,0.109444,0.0035,0.943343,0.3015,0.665,0.942512,0.3035,0.662778,0.942424,0.302,0.664444,0.1,200,10,1888,0.079494,6155.200435,10,1.008483,3757.634467,10,917.833333,-0.536237,1052.699732,10,0.531567,630.907083,10,3,-1.038356,0.4925,10,-0.062837,0.291316,0.1,200,0.951213,0.2995,0.667222,0,10,7,2000,0,0,6,1,0,0,0,0.857143,0.142857,-0.869249,0.65825,0.214771,0.571545,-0.635264,1.686534,0.624533,0.920872,-0.111491,1656.114273,0.767658,958.166127,0.76125,0.8015,0.109444,0.881187,0.6065,0.326111,0.930959,0.374,0.584444,0.761666,0.8005,0.110556,0.882958,0.614,0.317778,0.926243,0.413,0.541111,0,1001.520328,0,0.822781,0.3295,0.633889,65.864407
0.964959,2857727103081922600,78515457402586,2088010462,0.726665,0.0178,0,0.718728,0.0178,0,0.54702,0.02662,0.018296,0.726665,0.0178,0,0.00462,0.5,0.0178,0,0.5,0.0178,0,0.5,0.0178,0,0.9822,49110,15415,48511,26707.599129,6181967.170056,15415,148.082675,25311869.221418,1833.487179,2079.359375,434.516954,204444.109938,1833.487179,11.574619,402315.907281,1,0,-1.674959,-153278.608487,1,-1.799321,0,0.0178,890,0.620559,0.05914,0.011509,5,2,231,50000,50000,8024152,192,39,0.021645,1,0.694732,0.831169,0.168831,14.829687,4.182478,3.169805,9.034615,93.969382,32.357875,8.284472,97.36575,382.788214,28784.93684,17.316391,94164.319454,0.5,0.0178,0,0.5,0.0178,0,0.5,0.0178,0,0.548257,0.0178,0,0.580111,0.01792,-0.000238,0.548536,0.01814,0.001457,4160.398063,7641.436715,4160.398063,0.508098,0.0344,0.016196,?
0.995498,3430,490,70,0.722093,0.8065,0.103889,0.994558,0.0765,0.915,0.974311,0.056,0.937778,0.722093,0.8065,0.103889,0.1205,0.90541,0.275,0.694444,0.901276,0.2725,0.697222,0.900166,0.2615,0.709444,0.1,200,10,0,0,0,10,0,0,6.879668,0,0,0,6.879668,0,0,5,0,0,0,5,0,0,0.1,200,0.99481,0.07,0.922222,0,10,241,2000,0,0,0,241,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.73109,0.7925,0.119444,0.825206,0.5995,0.333889,0.880025,0.359,0.601111,0.677377,0.7905,0.121667,0.762934,0.7045,0.217222,0.809617,0.568,0.368889,0.530371,0,0.530371,0.976526,0.0475,0.947222,95.762712
0.599305,256,64,16,0.721622,0.299769,0,0.970962,0.152199,0.646767,0.98591,0.10706,0.750314,0.721622,0.299769,0,0.004051,0.896382,0.221644,0.505609,0.896382,0.221644,0.505609,0.914333,0.203125,0.571755,0.700231,1210,4,0,0,0,4,0,0,3.571429,0,0,0,3.571429,0,0,3,0,0,0,3,0,0,0.037616,65,0.970962,0.152199,0.646767,0,4,7,1728,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.499699,0.299769,0,0.89211,0.229745,0.498068,0.933496,0.199074,0.570716,0.722766,0.299769,0,0.8449,0.259259,0.304558,0.88359,0.248264,0.394576,0.534522,0,0.534522,0.98591,0.10706,0.750314,91.578947
0.995498,15808862273296,7928215784,3976036,0.68062,0.806,0.104444,0.962926,0.269,0.701111,0.880395,0.215,0.761111,0.68062,0.806,0.104444,0.024,0.878663,0.3255,0.638333,0.877779,0.3195,0.645,0.874051,0.321,0.643333,0.1,200,10,1994,4.370101,508.902572,10,1.7946,124.192494,10,1993.659574,0.735396,88.636429,10,0.79083,40.125453,10,1987,-0.991412,0.078554,10,0.005492,0.066552,0.1,200,0.959027,0.2705,0.699444,0,10,48,2000,0,0,47,1,0,0,0,0.979167,0.020833,-0.461243,7.537383,0.379049,3.75799,0.444046,69.881897,0.741593,37.878378,1.869984,126.832657,1.254833,65.211345,0.681654,0.8055,0.105,0.800871,0.651,0.276667,0.859424,0.5385,0.401667,0.678348,0.811,0.098889,0.76775,0.7055,0.216111,0.824012,0.5785,0.357222,0,1.147333,0,0.885452,0.2065,0.770556,78.576271
0.996603,8160,2040,510,0.555295,0.57298,0,0.671518,0.496945,0.215926,0.633839,0.532247,0.170578,0.555295,0.57298,0,0.006789,0.581366,0.544467,0.094375,0.660653,0.496945,0.215394,0.659954,0.495587,0.223235,0.42702,629,4,34,1.529607,32.538357,4,1.099014,8.227245,3.125,24.5,0.292856,17.899864,3.125,0.677732,5.292897,2,15,-0.943894,3.261371,2,0.256449,2.358549,0.226069,333,0.679801,0.506449,0.233605,3,3,10,1473,0,0,2,8,0.3,0,0,0.2,0.8,-0.943894,3.261371,0.256449,2.358549,0.292856,17.899864,0.677732,5.292897,1.529607,32.538357,1.099014,8.227245,0.499392,0.57298,0,0.653783,0.526816,0.198293,0.671524,0.496266,0.230702,0.606323,0.551256,0.154121,0.621136,0.549898,0.165373,0.662238,0.506449,0.227642,0.991031,13.435029,0.991031,0.581065,0.551256,0.148909,44.118993
0.726333,9720,1080,120,0.889494,0.113245,0.774576,0.99142,0.014771,0.970388,0.993492,0.012186,0.975575,0.889494,0.113245,0.774576,0.002831,0.987488,0.014771,0.970388,1,0,1,1,0,1,0.517971,4208,12,0,0,0,12,0,0,5.130435,0,0,0,5.130435,0,0,1,0,0,0,1,0,0,0.482029,3916,0.997623,0.048991,0.901597,5,2,23,8124,2480,2480,0,23,0.217391,0.305268,0.013273,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.987488,0.014771,0.970388,0.999126,0.005908,0.988163,0.999956,0.002954,0.994084,0.816817,0.22452,0.547525,0.979438,0.046406,0.906979,0.990001,0.039266,0.921181,3.180971,0,3.180971,1,0,1,100
